"Time","Event Type","Sensor","Message"
"Apr 4, 2019 14:51:03 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:51:03 204.68.195.201 named[29993]: 04-Apr-2019 10:51:03.431 queries: info: client 152.122.1.7#17562 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.195.201)"
"Apr 4, 2019 14:51:06 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:51:06 152.120.3.200 named[21871]: 04-Apr-2019 10:51:06.883 queries: info: client 152.120.54.119#51471 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:54:45 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:54:45 204.68.194.200 named[21493]: 04-Apr-2019 10:54:45.098 queries: info: client 152.122.1.7#42826 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.200)"
"Apr 4, 2019 14:54:45 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:54:45 204.68.194.100 named[24211]: 04-Apr-2019 14:54:45.114 queries: info: client 152.122.1.6#45686 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.100)"
"Apr 4, 2019 14:54:45 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:54:45 204.68.194.100 named[24211]: 04-Apr-2019 14:54:45.085 queries: info: client 152.122.1.7#58819 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.100)"
"Apr 4, 2019 14:54:46 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:54:46 204.68.194.201 named[9707]: 04-Apr-2019 10:54:46.314 queries: info: client 152.122.1.7#49381 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.201)"
"Apr 4, 2019 14:54:46 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:54:46 204.68.194.201 named[9707]: 04-Apr-2019 10:54:46.330 queries: info: client 152.122.1.6#5892 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.201)"
"Apr 4, 2019 14:54:52 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:54:52 152.120.3.200 named[21871]: 04-Apr-2019 10:54:52.963 queries: info: client 10.149.81.42#56585 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:54:54 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:54:54 152.120.2.200 named[8062]: 04-Apr-2019 10:54:54.762 queries: info: client 152.119.24.239#57795 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.2.200)"
"Apr 4, 2019 14:54:55 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:54:55 152.120.2.200 named[8062]: 04-Apr-2019 10:54:55.021 queries: info: client 152.119.24.239#50157 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.2.200)"
"Apr 4, 2019 14:57:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:57:48 152.120.3.200 named[21871]: 04-Apr-2019 10:57:48.559 queries: info: client 152.120.54.65#51392 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:57:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:57:48 152.120.3.200 named[21871]: 04-Apr-2019 10:57:48.561 queries: info: client 152.120.54.65#51873 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:58:39 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:58:39 152.120.3.200 named[21871]: 04-Apr-2019 10:58:39.800 queries: info: client 152.120.54.58#53732 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:58:39 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:58:39 152.120.3.200 named[21871]: 04-Apr-2019 10:58:39.806 queries: info: client 152.120.54.58#59914 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
